UKPRN,Provider Name,Learner Category,Completions 13/14 BL,Sustained Positive Destination Rate 13/14 BL,Quintile 13/14 BL,Completions 13/14 All,Sustained Positive Destination Rate 13/14 All,Quintile 13/14 All,Completions 14/15 BL,Sustained Positive Destination Rate 14/15 BL,Quintile 14/15 BL,Completions 14/15 All,Sustained Positive Destination Rate 14/15 All,Quintile 14/15 All,Completions 15/16 BL,Sustained Positive Destination Rate 15/16 BL,Quintile 15/16 BL,Completions 15/16 All,Sustained Positive Destination Rate 15/16 All,Quintile 15/16 All
10003876,1LIFE MANAGEMENT SOLUTIONS LIMITED,LLDD learner,x,x,x,20,88,top quintile,.,.,.,x,x,x,.,.,.,.,.,.
10003876,1LIFE MANAGEMENT SOLUTIONS LIMITED,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,20,100,top quintile,.,.,.,.,.,.,.,.,.,.,.,.
10003876,1LIFE MANAGEMENT SOLUTIONS LIMITED,"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",.,.,.,30,89,third quintile,.,.,.,x,x,x,.,.,.,.,.,.
10003876,1LIFE MANAGEMENT SOLUTIONS LIMITED,"Intermediate Apprenticeships: Business, Administration and Law",.,.,.,30,96,top quintile,.,.,.,x,x,x,.,.,.,.,.,.
10003876,1LIFE MANAGEMENT SOLUTIONS LIMITED,"Intermediate Apprenticeships: Leisure, Travel and Tourism",x,x,x,50,94,fourth quintile,.,.,.,x,x,x,.,.,.,.,.,.
10000020,5 E LTD.,LLDD learner,130,47,fourth quintile,50,41,bottom quintile,90,33,bottom quintile,60,29,bottom quintile,80,48,fourth quintile,40,40,bottom quintile
10000020,5 E LTD.,Advanced and Higher Apprenticeships: Information and Communication Technology,x,x,x,10,100,top quintile,x,x,x,x,x,x,.,.,.,20,81,bottom quintile
10000020,5 E LTD.,"Full Level 3+: Business, Administration and Law",.,.,.,.,.,.,x,x,x,20,81,bottom quintile,x,x,x,40,69,second quintile
10000020,5 E LTD.,Full Level 3+: Information and Communication Technology,50,60,second quintile,30,76,second quintile,40,64,second quintile,30,81,third quintile,30,54,bottom quintile,40,76,second quintile
10000020,5 E LTD.,Other Level 3,10,70,third quintile,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
