UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10003876,1LIFE MANAGEMENT SOLUTIONS LIMITED,Private Sector Public Funded,140,0,0,20,36,43,x,x,x,x,x,x,.,.,.,.,.,.
10000020,5 E LTD.,Private Sector Public Funded,820,38,11,1,49,2,670,44,33,9,11,2,830,23,17,50,10,0
10000115,A4E LTD,Private Sector Public Funded,7760,42,55,2,1,1,6510,6,42,17,4,32,1220,14,66,0,14,6
10010933,ABA TRAINING LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,.,.,.
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,2680,2,5,13,43,38,1110,4,4,7,36,49,2120,2,24,26,11,37
10019646,ABIS RESOURCES LIMITED,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,50,100,0,0,0,0
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,3240,14,1,5,72,7,2160,14,20,2,16,48,1750,10,26,48,6,9
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,540,95,0,0,0,5,710,35,62,2,0,0,460,2,2,0,33,63
10033736,ACADEMIES ENTERPRISE TRUST,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000191,ACADEMY EDUCATION LIMITED,Private Sector Public Funded,80,65,35,0,0,0,70,36,64,0,0,0,90,53,47,0,0,0
10024597,ACADEMY TRAINING GROUP LIMITED,Private Sector Public Funded,.,.,.,.,.,.,50,0,0,100,0,0,30,100,0,0,0,0
10039859,ACADEMY TRANSFORMATION TRUST,Private Sector Public Funded,1070,62,33,1,0,4,730,27,38,6,23,5,600,21,7,36,24,11
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,690,34,4,20,0,42,340,64,17,0,19,0,260,90,0,4,0,6
10010584,ACCESS TRAINING (EAST MIDLANDS) LTD,Private Sector Public Funded,310,5,19,10,13,53,270,0,17,22,0,61,310,19,0,0,7,74
10009059,ACCESS TRAINING LIMITED,Private Sector Public Funded,690,17,27,24,0,32,410,30,41,7,0,22,580,8,22,11,15,44
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,4870,43,2,41,7,6,3050,47,37,10,2,5,2720,43,18,4,28,6
10034055,ACE TRAINING AND CONSULTANCY LIMITED,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x
10019431,ACHIEVE THROUGH LEARNING LIMITED,Private Sector Public Funded,700,5,59,0,7,29,710,38,9,0,33,20,630,23,0,0,39,39
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,1330,11,1,20,2,66,750,11,18,30,26,14,610,9,35,3,43,10
10000108,ACORN TRAINING CONSULTANTS LIMITED,Private Sector Public Funded,.,.,.,.,.,.,x,x,x,x,x,x,10,0,0,0,100,0
10007706,ACTIV8 LEARNING,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,x,x,x,x,x,x
10019237,ACTIVATE COMMUNITY AND EDUCATION SERVICES,Private Sector Public Funded,20,0,0,0,0,100,20,100,0,0,0,0,20,100,0,0,0,0
10004927,ACTIVATE LEARNING,General FE College incl Tertiary,4980,2,7,17,36,38,4270,3,9,25,14,49,3240,4,15,29,24,29
